team,wins,batavg,rbi,stole,strkout,caught,error,era
Atlanta,65,0.25,636,92,1010,55,158,4.579999924
Chicago,77,0.263000011,649,151,869,50,124,4.340000153
Cincinnati,91,0.264999986,644,166,913,66,102,3.390000105
Houston,75,0.241999999,536,179,997,83,131,3.609999895
Los Angeles,86,0.261999995,669,141,952,65,130,3.720000029
Montreal,85,0.25,607,235,1024,99,110,3.369999886
New York,91,0.256000012,734,110,851,33,132,3.430000067
Philadelphia,77,0.254999995,619,108,915,35,117,4.070000172
Pittsburgh,95,0.259000003,693,137,914,52,134,3.400000095
St. Louis,70,0.256000012,554,221,844,74,130,3.869999886
San Diego,75,0.256999999,628,138,902,59,141,3.680000067
San Francisco,85,0.261999995,681,109,973,56,107,4.079999924
