year,Argentina,Australia,Belgium,Canada,Egypt,France,Germany,Greece,India,Japan,Mexico,Niger,Singapore,United Kingdom,United States
1990,0,0.586159397,0.001004885,0.359828722,0,0.051358396,0.12536139,0,0,0.020082459,0,0,0,0.087304793,0.796410628
1991,NA,1.099529387,0.020016144,0.567957184,NA,0.136292982,0.249141881,0.04874523,NA,0.040040587,0.005880695,NA,0.159668763,0.174063236,1.176189103
1992,0.002992874,1.772249769,0.0996358,0.911695417,NA,0.271338368,0.433440951,0.048204812,0.000111308,0.095859763,0.01730781,NA,0.465530877,0.260366482,1.736045578
1993,0.029527065,1.981363276,0.198409894,1.17926229,0.000975791,0.574086886,0.462319739,0.191039732,0.000218176,0.398433646,0.028305042,NA,0.757270506,0.519429037,2.279401619
1994,0.043705951,2.240454351,0.691998962,2.370288127,0.00638327,0.874351842,0.923185,0.378930408,0.001069562,0.794159301,0.043339167,NA,1.173586096,1.036122818,4.869119182
1995,0.086277081,2.766742391,0.986092865,4.156162704,0.031319638,1.590891489,1.843393972,0.752254491,0.026228879,1.58225972,0.10256419,NA,2.838503974,1.894455542,9.238674204
1996,0.141954704,3.276794752,2.951330322,6.739808038,0.061466899,2.508799722,3.065452305,1.401285071,0.046333977,4.340087015,0.20040628,0.001039305,8.135760868,4.122935802,16.41933053
1997,0.280339882,16.37656577,4.905171024,15.00351866,0.090480245,4.129441202,6.734913847,1.857940148,0.070767849,9.090448285,0.62731154,0.002008766,13.02691853,7.385629066,21.615318
1998,0.83076668,30.85256168,7.82914849,24.7871626,0.147987377,6.130810476,9.914364049,3.236607539,0.139027329,13.2989712,1.265783278,0.002911503,18.76299339,13.67018994,30.10760446
1999,3.284481956,40.83096345,13.66710496,36.04954849,0.290445278,8.862278766,20.90725137,6.912069848,0.273224277,21.20239483,1.857436221,0.028136022,23.45978207,21.28962755,35.88213093
2000,7.038683086,46.78382556,29.2147391,51.12938457,0.641265038,13.87027699,30.26689089,9.196931697,0.52753245,29.71896567,5.081384153,0.036261294,35.02937014,26.8133757,43.13014069
2001,9.780807285,52.60563888,31.05933918,59.97791664,0.838945611,25.48284606,31.66413443,11.0173514,0.660146377,38.15162324,7.038023117,0.105185431,40.08896306,33.47495977,49.18000685
2002,10.88212438,NA,45.97685699,61.43564737,2.719999715,29.18942498,48.78657938,14.78454371,1.537875582,46.08358834,11.9,0.127152469,45.38175263,56.49348266,58.95751701
2003,11.91369655,NA,49.61832185,64.06331861,4.037885107,34.94483263,55.86609122,17.94138254,1.686489971,47.85357434,12.9,0.155698704,53.46177899,64.86144736,61.94868178
2004,16.03668411,NA,53.52848187,65.85001545,5.150666232,37.8355608,64.73634072,21.58567933,1.976136492,61.680143,14.1,0.189933734,61.90265582,65.63621644,65.03644256
2005,17.72058337,63.02693628,55.47689608,71.59660113,11.69839821,41.39108117,68.76941828,24.17107186,2.388075,66.19826223,17.21,0.221341351,61.00284566,69.9749171,68.26789985
2006,20.9272021,66.1479411,59.30688973,72.51535612,12.55279997,45.22005544,72.29988238,32.45492427,2.805499865,67.99107845,19.52,0.294033977,59.11467828,68.75470828,69.20484774
2007,25.94663294,69.60650927,63.91273662,73.30581298,16.05,63.74893924,75.38833586,36.08180804,3.95,73.57005113,20.81,0.39039062,67.94507954,74.9785125,75.26226292
2008,28.11262348,71.7210626,65.33564762,76.72038636,18.01,68.18519055,78.34689488,38.3859944,4.38,74.71545815,21.71,0.7,68.04209282,78.23268889,74.21781837
2009,34,74.08290816,69.12111739,80.17086651,24.28,69.0633593,79.48523153,42.56473331,5.12,77.38468963,26.34,0.76,68.41958156,77.79971962,71.21181627
2010,40,75.89293106,73.73538942,80.04213592,30.2,77.28357938,82.52696855,44.57201236,7.5,77.64879296,31.05,0.83,71.13591073,77.75462928,74.24740664
2011,47.704,78.94807512,76.20061483,82.67934446,35.62,76.76991667,83.44331664,53.40336545,10.07,78.70865201,36.15,1.3,75.06124486,81.70733772,78.23621919
